mid,latency_ms,accepted_s1,accepted_s2,consensus_accept,reason_s1,reason_s2,is_attack,attack_type,t_verify_ms,t_fresh_ms,t_consensus_ms,t_total_ms,violated_urlcc,epoch,false_reject_freshness
115,1.6028693712834754,False,False,False,REJECT(sig),REJECT(sig),True,replay,0.25,0.02,0.15,2.0228693712834755,False,0,False
116,1.3236974490042837,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7436974490042836,False,0,False
117,1.6362835712160582,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.056283571216058,False,0,False
118,1.7417056089949075,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.1617056089949074,False,0,False
119,1.708127066285112,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.128127066285112,False,0,False
120,1.4424486730148631,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.862448673014863,False,1,False
121,1.5825676498235386,False,False,False,REJECT(sig),REJECT(sig),True,replay,0.25,0.02,0.15,2.0025676498235385,False,1,False
122,1.2920254557686082,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.712025455768608,False,1,False
123,1.6317507894741987,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0517507894741986,False,1,False
124,1.4425498014272038,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8625498014272037,False,1,False
125,1.3973302222471846,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8173302222471845,False,1,False
126,1.4975415802586114,False,False,False,REJECT(sig),REJECT(sig),True,spoof,0.25,0.02,0.15,1.9175415802586113,False,1,False
127,1.3594973795589267,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7794973795589266,False,1,False
128,1.6778656363709135,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0978656363709134,False,1,False
129,1.2378679605211222,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.6578679605211222,False,1,False
130,1.2871132773794793,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7071132773794793,False,1,False
131,1.5527718523116194,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.9727718523116193,False,1,False
132,1.6444359632890508,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0644359632890508,False,1,False
133,1.6796808905498608,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0996808905498607,False,1,False
134,1.6786895984462804,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0986895984462803,False,1,False
135,1.4541995979182287,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8741995979182287,False,1,False
136,1.3645759598660205,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7845759598660205,False,1,False
137,1.441539307558743,False,False,False,REJECT(sig),REJECT(sig),True,replay,0.25,0.02,0.15,1.861539307558743,False,1,False
138,1.5466490105233435,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.9666490105233434,False,1,False
139,1.6404161716190395,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0604161716190394,False,1,False
140,1.7774508670712414,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.1974508670712414,False,1,False
141,1.1441222468043704,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.5641222468043703,False,1,False
142,1.636078088239647,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.056078088239647,False,1,False
143,1.2973806387961124,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7173806387961124,False,1,False
144,1.5721495222562385,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.9921495222562384,False,1,False
145,1.6243011256282935,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0443011256282935,False,1,False
146,1.3267196397960557,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7467196397960556,False,1,False
147,1.806763302659717,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.226763302659717,False,1,False
148,1.4942512693297192,False,False,False,REJECT(sig),REJECT(sig),True,replay,0.25,0.02,0.15,1.9142512693297191,False,1,False
149,1.3464135695041355,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7664135695041354,False,1,False
150,1.214136819595569,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.634136819595569,False,1,False
151,1.595132652474267,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.015132652474267,False,1,False
152,1.8026370985932318,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.222637098593232,False,1,False
153,1.2941155144906789,False,False,False,REJECT(sig),REJECT(sig),True,spoof,0.25,0.02,0.15,1.7141155144906788,False,1,False
154,1.4576227852285304,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8776227852285303,False,1,False
155,1.5849292386057368,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0049292386057367,False,1,False
156,1.5683345453643227,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.9883345453643226,False,1,False
157,1.7128377488057613,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.1328377488057613,False,1,False
158,1.5768185504608043,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.9968185504608043,False,1,False
159,1.220658844156666,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.6406588441566659,False,1,False
160,1.3944225506475225,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8144225506475224,False,1,False
161,1.5568729985373988,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.9768729985373987,False,1,False
162,1.4137370889098635,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8337370889098634,False,1,False
163,1.3911452216697549,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8111452216697548,False,1,False
164,1.7599245610736547,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.179924561073655,False,1,False
165,1.3689350208827238,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7889350208827237,False,1,False
166,1.1880425888050279,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.6080425888050278,False,1,False
167,1.4835070211943981,False,False,False,REJECT(sig),REJECT(sig),True,replay,0.25,0.02,0.15,1.903507021194398,False,1,False
168,1.636486972618657,False,False,False,REJECT(sig),REJECT(sig),True,spoof,0.25,0.02,0.15,2.056486972618657,False,1,False
169,1.450032922922854,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8700329229228538,False,1,False
170,1.1651493108661204,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.5851493108661203,False,1,False
171,1.5801188947136349,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.000118894713635,False,1,False
172,1.8655167365532301,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.2855167365532303,False,1,False
173,1.5521324497171847,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.9721324497171846,False,1,False
174,1.458624198392591,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8786241983925909,False,1,False
175,1.6494309015321829,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.069430901532183,False,1,False
176,1.5323788898034585,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.9523788898034584,False,1,False
177,1.3858278068235927,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.8058278068235927,False,1,False
178,1.7406871301233897,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.1606871301233896,False,1,False
179,1.3572152745730954,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7772152745730954,False,1,False
180,1.373603862488447,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.793603862488447,False,1,False
181,1.6650034723117062,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.085003472311706,False,1,False
182,1.3501024969419286,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7701024969419286,False,1,False
183,1.5953006303792323,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0153006303792322,False,1,False
184,1.6558070306427473,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.075807030642747,False,1,False
185,1.307566894462285,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,1.7275668944622848,False,1,False
186,1.8235509812174462,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.243550981217446,False,1,False
187,1.6054886186322905,False,False,False,REJECT(sig),REJECT(sig),False,none,0.25,0.02,0.15,2.0254886186322905,False,1,False
